Drain_Label,Drain_ID,Drain_Type,Rainfall_mm_hr,Month,Degradation_Factor_x,Design_Capacity_m3hr,Catchment_km2,Impervious_frac,Runoff_coeff,Slope,Pipe_ID,Node_ID,latitude,longitude
D-002,2,1,5,6,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,3,7,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,3,8,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,5,9,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,8,10,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,10,11,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,8,12,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-003,3,3,2,1,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,3,2,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,4,3,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,5,4,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,6,5,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,5,6,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,3,7,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,3,8,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,5,9,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,8,10,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,10,11,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-003,3,3,8,12,0.573186996,3392.239047,3.793972738,0.624381073,0.470804194,0.081776392,P-002,1265011,47.60746037,-122.3403053
D-004,4,1,2,1,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,3,2,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,4,3,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,5,4,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,6,5,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,5,6,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,3,7,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,3,8,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,5,9,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,8,10,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,10,11,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-004,4,1,8,12,0.683767211,2443.549612,3.193963179,0.682457941,0.435481014,0.042293774,P-002,1268708,47.60675925,-122.3396479
D-005,5,3,2,1,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,3,2,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,4,3,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,5,4,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,6,5,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,5,6,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,3,7,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,3,8,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,5,9,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,8,10,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,10,11,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-005,5,3,8,12,0.534086155,4406.080169,1.202083882,0.7356548,0.448254348,0.034713924,P-003,1257667,47.60889013,-122.339848
D-006,6,1,2,1,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,3,2,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,4,3,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,5,4,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,6,5,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,5,6,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,3,7,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,3,8,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,5,9,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,8,10,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,10,11,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-006,6,1,8,12,0.512905953,2661.804832,1.201975342,0.885511248,0.584311507,0.040868069,P-004,1256105,47.60917935,-122.3390639
D-007,7,2,2,1,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,3,2,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,4,3,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,5,4,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,6,5,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,5,6,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,3,7,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,3,8,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,5,9,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,8,10,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,10,11,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-007,7,2,8,12,0.567583145,1828.02749,0.761376255,0.609780209,0.482533487,0.036101357,P-005,1248610,47.61065071,-122.3323869
D-008,8,2,2,1,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,3,2,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,4,3,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,5,4,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,6,5,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,5,6,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,3,7,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,3,8,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,5,9,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,8,10,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,10,11,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-008,8,2,8,12,0.981557556,3957.165441,4.397792656,0.493773884,0.545707944,0.119141826,P-006,1249122,47.61058076,-122.3307177
D-009,9,1,2,1,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,3,2,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,4,3,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,5,4,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,6,5,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,5,6,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,3,7,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,3,8,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,5,9,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,8,10,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,10,11,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-009,9,1,8,12,0.774764768,4205.09666,3.205017553,0.777111717,0.601366908,0.059017536,P-006,1247004,47.61098683,-122.3315959
D-010,10,3,2,1,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,3,2,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,4,3,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,5,4,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,6,5,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,5,6,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,3,7,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,3,8,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,5,9,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,8,10,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,10,11,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-010,10,3,8,12,0.982911081,1666.67512,3.6863266,0.462499351,0.676157931,0.018097975,P-007,1258254,47.60876243,-122.341489
D-011,11,1,2,1,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,3,2,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,4,3,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,5,4,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,6,5,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,5,6,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,3,7,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,3,8,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,5,9,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,8,10,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,10,11,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-011,11,1,8,12,0.716248939,1468.402146,0.592630224,0.563382852,0.415724856,0.145674368,P-007,1260833,47.60826191,-122.3410298
D-012,12,3,2,1,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,3,2,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,4,3,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,5,4,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,6,5,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,5,6,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,3,7,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,3,8,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,5,9,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,8,10,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,10,11,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-012,12,3,8,12,0.655908067,1081.572824,4.864594335,0.347073829,0.71976416,0.133730024,P-008,1253689,47.60967186,-122.3354197
D-013,13,2,2,1,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,3,2,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,4,3,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,5,4,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,6,5,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,5,6,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,3,7,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,3,8,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,5,9,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,8,10,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,10,11,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-013,13,2,8,12,0.753070931,4525.635533,4.245991884,0.315210446,0.651160156,0.13988532,P-008,1250883,47.61017343,-122.3358771
D-014,14,3,2,1,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,3,2,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,4,3,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,5,4,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,6,5,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,5,6,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,3,7,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,3,8,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,5,9,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,8,10,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,10,11,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-014,14,3,8,12,0.719755844,3722.829023,1.455525998,0.877589049,0.432703613,0.149287095,P-009,1256140,47.60920672,-122.3365265
D-015,15,2,2,1,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,3,2,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,4,3,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,5,4,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,6,5,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,5,6,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,3,7,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,3,8,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,5,9,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,8,10,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,10,11,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-015,15,2,8,12,0.552832342,2867.809749,1.318212352,0.801588072,0.74943145,0.034345335,P-010,1238756,47.61245919,-122.3313158
D-016,16,3,2,1,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,3,2,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,4,3,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,5,4,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,6,5,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,5,6,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,3,7,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,3,8,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,5,9,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,8,10,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,10,11,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-016,16,3,8,12,0.820413157,4496.836052,1.325320294,0.717584524,0.76834896,0.065473883,P-010,1240945,47.61207203,-122.3322447
D-017,17,3,2,1,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,3,2,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,4,3,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,5,4,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,6,5,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,5,6,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,3,7,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
D-017,17,3,3,8,0.608019091,4428.085547,1.869090093,0.545371767,0.424431184,0.116153387,P-011,1253975,47.60954566,-122.340677
